ID,name,orderIndex,orderMethod,orderDirection,useSeparateStyles
,,88,title,,
Fernando Ortega ,Fernando Ortega ,76,,,
Casting Crowns,Casting Crowns,77,,,
Third Day,Third Day,78,,,
Avalon,Avalon,79,,,
Bebo Norman,Bebo Norman,80,,,
Big Daddy Weave,Big Daddy Weave,81,,,
Carl Cartee,Carl Cartee,82,,,
Jars of Clay,Jars of Clay,83,,,
Selah,Selah,84,,,
Watermark ,Watermark ,85,,,
Jeremy Camp,Jeremy Camp,86,,,
Ray Boltz,Ray Boltz,87,,,
Edited,Edited,71,,,
To be rewritten in Onsong,To be rewritten in Onsong,68,,,
Mercy Me,Mercy Me,75,,,
Add to ONSONG ,Add to ONSONG ,67,,,
MY SOLOS,MY SOLOS,59,,,
Clint Brown,Clint Brown,72,,,
Rich Mullins,Rich Mullins,73,,,
Medley ideas,Medley ideas,74,,,
FAST SONGS,FAST SONGS,61,,,
SLOW SONGS,SLOW SONGS,60,,,
CONSECRATION SONGS,CONSECRATION SONGS,43,,,
REPENTANCE SONGS,REPENTANCE SONGS,44,,,
OUTREACH SONGS,OUTREACH SONGS,42,,,
ALTAR SONGS,ALTAR SONGS,45,,,
SING UNTO THE LORD,SING UNTO THE LORD,31,,,
Random Favorites,Random Favorites,69,title,,
Easy Songs,Easy Songs,70,title,,
Sis Dedie Cooley CHORUSES,Sis Dedie Cooley CHORUSES,66,,,
EASY SONGS,EASY SONGS,65,,,
ENERGETIC SONGS,ENERGETIC SONGS,63,,,
MAJESTIC SONGS,MAJESTIC SONGS,64,,,
UPBEAT SONGS,UPBEAT SONGS,62,,,
The BLOOD,The BLOOD,46,,,
The NAME,The NAME,49,,,
The WORD,The WORD,50,,,
SPECIALS,SPECIALS,53,,,
THE HOLY GHOST,THE HOLY GHOST,48,,,
GIVING,GIVING,33,,,
OFFERING,OFFERING,34,,,
THANKSGIVING ,THANKSGIVING ,35,,,
PRAISE AND WORSHIP,PRAISE AND WORSHIP,36,,,
OUTREACH,OUTREACH,37,,,
CONSECRATION,CONSECRATION,38,,,
REPENTANCE ,REPENTANCE ,40,,,
ALTAR ,ALTAR ,41,,,
ENSEMBLE,ENSEMBLE,52,,,
HEAVEN,HEAVEN,51,,,
DETERMINATION,DETERMINATION,39,,,
BRO. JENSEN,BRO. JENSEN,54,,,
SIS. GRIGSBY,SIS. GRIGSBY,55,,,
SIS. HALL,SIS. HALL,56,,,
SIS. JELDERKS ,SIS. JELDERKS ,57,,,
BRO. HALL,BRO. HALL,58,,,
ROMAN NUMERALS ,ROMAN NUMERALS ,32,,,
The CROWN,The CROWN,47,,,
PRAYER,PRAYER,22,,,
To learn,To learn,23,,,
SERVICE,SERVICE,24,,,
WORSHIP ,WORSHIP ,25,,,
The LAMB,The LAMB,26,,,
The CROSS,The CROSS,27,,,
PRAISE (fast),PRAISE (fast),28,,,
HEALING,HEALING,29,,,
REVERENTIAL,REVERENTIAL,30,,,
JEWISH SEMITIC SOUND,JEWISH SEMITIC SOUND,1,,,
CHILDREN'S,CHILDREN'S,,title,,
ANTHEMIC SONGS,ANTHEMIC SONGS,2,,0,
MOD. GOSPEL FAST,FAST MOD GOSPEL ,3,title,0,
MOD.APOSTOLIC SLOW,SLOW MOD APO,10,,0,
MOD. APOSTOLIC MED.,MED MOD APO,16,,0,
MOD. APOSTOLIC FAST,FAST MOD APO,5,,0,
O.S. APOSTOLIC SLOW ,SLOW OS APO,12,,0,
O.S. APOSTOLIC FAST,FAST OS APO,6,,0,
MOD. GOSPEL MED. ,MED MOD GOSPEL,19,,0,
O.S. GOSPEL FAST,FAST OS GOSPEL ,4,,0,
MOD. GOSPEL SLOW,SLOW MOD GOSPEL ,11,,0,
FAST OS SOUTHERN GOSPEL ,FAST OS SOUTHERN GOSPEL ,8,,0,
SLOW OS SOUTHERN GOSPEL ,SLOW OS SOUTHERN GOSPEL ,13,,0,
MED OS SOUTHERN GOSPEL ,MED OS SOUTHERN GOSPEL ,18,,0,
CONTEMP. CHRISTIAN,SLOW CONTEMP CHRISTIAN,15,,0,
MED CONTEMP CHRISTIAN,MED CONTEMP CHRISTIAN,21,,0,
FAST CONTEMP CHRISTIAN,FAST CONTEMP CHRISTIAN,9,,0,
FAST OS CHRISTIAN ,FAST OS CHRISTIAN ,7,,0,
MED OS CHRISTIAN ,MED OS CHRISTIAN ,20,,0,
SLOW OS CHRISTIAN ,SLOW OS CHRISTIAN ,14,,0,
O.S. APOSTOLIC MED.,MED OS APO,,,0,
