ID,topic,created,modified,orderIndex,orderMethod
B03998DE-71F7-4376-A4C5-DC47F98BE970,Love,1418595358.64089,1418595358.64092,,
343DBE12-EF36-45B1-88DA-D631DF041039,Mercy,1418595373.11934,1418595373.11936,,
B6316E8E-17D0-4679-B0F8-3911295D35D2,Grace,1418595400.00238,1418595400.0024,,
D0C05A98-D0F2-4448-8C79-0794B562126B,SUTL,1418595413.66922,1418595413.66924,,
357ED4C7-03CD-45F8-8F7E-D55AC8FF4727,Holiness,1418595466.26909,1418595466.26911,,
CD4D6162-C56A-442E-98EC-61976459190A,Jesus,1418597321.86129,1418597321.86131,,
86A8A6EF-B7B2-45C2-8C94-8AE4329CE0BD,-1,1418598556.80905,1418598556.80906,,
00D1F68B-5038-4F11-AE53-D3F05E5CB77E,Praise,1419188018.12878,1419188018.1288,,
DCDAE8FC-9B39-4573-A1BE-B85B150CCE85,Faith,1441562159.0567,1441562159.05672,,
9AE7695E-D88B-479A-A42B-396E19D764A9,Adoration,1489300756.38931,1489300756.38933,,
D755277A-6BBA-42EC-8E0D-F010F56372E7,Service,1489300767.62497,1489300767.62498,,
FB5D261E-B19F-41DD-BF4D-2A94E8C6490C,Anointed,1490255664.79353,1490255664.79354,,
4CD58E41-9937-49C7-81CE-2327D5B47A7A,Presence,1490255675.32186,1490255675.32188,,
36D081D6-0AE3-4067-A6E5-C055A44ED5DA,Anthemic,1490255686.05844,1490255686.05845,,
C4EC8BE3-5FBB-424B-BDF2-6F17DFB0763F,Repentance,1490325126.38271,1490325126.38272,,
D2A86CAE-E1C0-45B0-BAC4-84A9BBDF93AC,Provision,1490430698.46952,1490430698.46953,,
D5D748C4-ADE4-4059-B9FF-AA804E771C97,Joy,1490431605.83334,1490431605.83335,,
BEEA5B84-BFEC-4A0F-8322-E55F7EC72BC6,Commitment ,1490431652.16115,1490431652.16116,,
D93EEB6E-7D14-48C9-80B2-8B5FBBBBA54D,Declaration ,1490431663.00628,1490431663.00629,,
9EC2F581-8C36-4AA9-9BE9-FF5A8C858E62,Temptation ,1490431940.52716,1490431940.52717,,
964B924B-D85F-4E56-A7F9-DE08E1D1E3DC,Exaltation,1490433042.30616,1490433042.30617,,
3DE5FFE7-3A85-4A63-B868-62D3230FFEB8,Greatness,1490433369.26494,1490433369.26495,,
281BDF4F-391A-48DE-ACCC-B91D1498CEEE,Abiding,1490493293.00529,1490493293.0053,,
0C83A60E-4340-4175-9642-A88836B1573B,Acceptance ,1490493306.67538,1490493306.67539,,
3D6A86BF-503A-419A-A86F-D417427FA226,Admonition ,1490493316.65733,1490493316.65734,,
BA5EC73F-64E4-45DC-AB0C-C3745D0DDD87,Adoption,1490493325.57476,1490493325.57477,,
3582B342-8D45-4F9A-A37C-086A652FA0E4,Advent,1490493846.95284,1490493846.95285,,
F31EFC76-C2D9-4D2D-B4C0-EF4ADAF5297D,Affirmation ,1490493858.6758,1490493858.67581,,
9623F1D9-4302-46E9-9D0A-24C9F81C899B,Alive,1490493865.64528,1490493865.64529,,
67B44D91-40EF-4C25-B8A3-A5F34DDB1066,Alleluia ,1490493878.22813,1490493878.22815,,
87E1B4F2-9D5C-4BF9-BF0C-3A142259AF39,Almighty,1490493885.87225,1490493885.87226,,
B9C13868-609B-4BAF-8488-7C12E3232A1E,Americana,1490493895.82212,1490493895.82213,,
01F7C6B7-0817-4989-AF84-D815CC70A6B0,Angels,1490493904.53251,1490493904.53252,,
82369C1E-103B-4ADC-BAD1-6D6FE6889176,Annunciation ,1490493920.79223,1490493920.79225,,
31DA0A7C-83FB-4B92-84F0-4C84E4C0B7B7,Anointed,1490493929.829,1490493929.82901,,
0C4A709C-B5B4-45DE-9914-9707109AF305,Apostles,1490493937.86829,1490493937.86833,,
BC022809-810A-425B-867F-BF97488E21CE,Appreciation ,1490493946.36729,1490493946.3673,,
FF570B19-064F-488B-872F-712D28FDEF9D,Army,1490493955.05331,1490493955.05332,,
DBDA721A-474A-4CAF-8C60-C58725DD7F48,Ascension ,1490493974.91032,1490493974.91033,,
C824C603-BBB4-4D1D-B85D-06726999C368,Aspiration ,1490493983.23477,1490493983.23479,,
69F47431-D8DA-42B3-B4FB-2F42B5603CB6,Aspiration ,1490493999.64232,1490493999.64233,,
E19B2F5E-7F42-45F6-B2CE-1E2EB55209CD,Assurance ,1490494009.96139,1490494009.9614,,
602E8576-4459-45D2-9850-30895322E6B1,Atonement ,1490494023.44726,1490494023.44727,,
A4A14733-F32D-4C77-9E7E-AE505C072CF2,Authority,1490494039.21033,1490494039.21034,,
37856F95-8215-45B0-B542-63CBB372CB2E,Awesome,1490494053.9999,1490494053.99992,,
80CC06F8-DF72-4A06-9115-55AB83A512F8,Baby,1490494061.66478,1490494061.6648,,
D993F10E-BBFE-4E1D-A57B-68F36D070229,Baptism,1490494072.1948,1490494072.1948,,
A26E8CDB-8570-4D5F-B5C3-764197E8A17A,Beauty,1490494081.18293,1490494081.18295,,
E0522A2C-F54E-498D-BBD4-06FC6BB9DA5C,Believe,1490494088.92133,1490494088.92134,,
B660776F-BA00-43CA-BEDB-51013ADB534E,Benediction,1490494098.86589,1490494098.86591,,
64555B9E-29B9-41B4-AA16-41A15C5DB13D,Bible,1490494107.6616,1490494107.66161,,
0ED5EF2D-7541-4A4A-AD28-D20DD9CAACA8,Birth,1490494132.11276,1490494132.11277,,
CEC2DC4A-640F-4C4D-A8F7-842920CD77CF,Blessing,1490494139.02841,1490494139.02842,,
D5A8902D-C5D0-4824-8DBF-AA0DC4A2101D,Blood,1490494145.66258,1490494145.66259,,
C3467484-9703-4327-9129-3F9BA748403C,Boldness,1490494155.84647,1490494155.84648,,
0546FB49-8B98-41CC-B902-F480BEAB0ECE,Bread of life,1490494165.44928,1490494165.44929,,
BC5AEE21-AC59-4703-B22F-E8E30568D153,Boldness,1490494173.60625,1490494173.60626,,
D53BB79C-A73F-4F89-BE14-113EDF00906F,Breakthrough ,1490494187.89054,1490494187.89055,,
