"SLOW 

TRADITIONAL CONTEMPORARY 
CONGREGATIONAL CHOIR SOLO 
CHORUSES  SONGS 
WORSHIP
","SLOW 

TRADITIONAL
CONGREGATIONAL CHOIR
CHORUSES  SONGS 
WORSHIP","MEDIUM SLOW
SOUTHERN  BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
REVERENTIAL WORSHIP","MEDIUM SLOW
SOUTHERN  BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
ENERGETIC WORSHIP","MEDIUM
 SOUTHERN  BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
PRAISE WORSHIP","MEDIUM 
MARANATHA
JESUS MOVEMENT/CCM 
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
PRAISE  WORSHIP","MEDIUM FAST 
SOUTHERN  BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
ENERGETIC PRAISE  WORSHIP","MEDIUM FAST 
TRADITIONAL
CONGREGATIONAL
CHORUSES  SONGS
ENERGETIC PRAISE  WORSHIP","(MEDIUM) FAST SHOUTING
SOUTHERN  BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
HIGH ENERGY PRAISE  WORSHIP","MEDIUM FAST 
MIDDLE EASTERN BLACK GOSPEL
TRADITIONAL CONTEMPORARY
CONGREGATIONAL CHOIR SOLO
CHORUSES  SONGS
PRAISE",CHOIR SONGS,BLACK GOSPEL OPERA,"BLACK GOSPEL
FAST  FUNKY","SOUTHERN GOSPEL
BLUEGRASS
NOVEL CHEEKY",CCM/SOUTHERN,CCM/GOSPEL,CCM/POP,ALTAR SONGS
A Brand New Touch,A Brand New Touch,A Perfect Heart,Bless The Lord O My Soul,Address Change Notification,Abba Father,A New Name In Glory,A New Name In Glory,Ain't God Good,Can't Stop Praising His Name,Amen,Alabaster Box,Ain't No Devil In Hell Gonna Walk On The Jesus In Me,He'll Take Care Of The Rest,,,,Above All Else I Must Be Saved
Abide With Me,Abide With Me,Above All,Born Again,Amazing Love,All Hail King Jesus,A New Name Written In Glory,A New Name Written In Glory,Ain't Got Time For You Devil,Child Of The King,Believe For It,Center Of My Joy,Deep Way Down,I Got Up And Went,,,,All He Wants Is You
Adonai,Adonai,Above All Else,Break Every Chain,Believe For It,All Heaven Declares,Ain't God Good,Ain't God Good,Ain't No Rock,Come Let Us Sing,Breakthrough,Days Of Elijah,Get Ready For Revival,I Probably Love You Delilah,,,,Almost Persuaded
All Heaven Declares,All Heaven Declares,All My Worship My All,Breathe On Me,Breathe On Me,Anyway That I Can,All In Him,All In Him,Bless That Wonderful Name of Jesus,Dance Like David Danced,Breathe On Me,Do you know him,My God Can Do Anything,Take Your Shoes Off Moses,,,,Amazing Grace
All My Hope,All My Hope,All The Way,Come Into His Presence,Everlasting God,Bind Us Together,At Calvary,At Calvary,Breakthrough,David Did Dance,Clean,Draw Me Close To You,The Greatest Name,I Saw The Light,,,,Are You In The Church Triumphant?
All The Way My Savior Leads Me,All The Way My Savior Leads Me,Amen,Didn't I Walk On The Water,Fall LIke Rain ,Change My Heart O God,At The Cross,At The Cross,Can't Nobody Do Me Like Jesus,End Of The Beginning,Famous For (I Believe),God Will Open Up The Windows Of Heaven,,,,,,Are You Ready Are You Ready
Amazing Grace,Amazing Grace,At Your Feet,Draw Me Nearer,Famous For (I Believe),From Glory To Glory,Bless The Lord He Endureth Forever,Bless The Lord He Endureth Forever,Can't Stop Praisin' His Name,Excellent,Garment of Praise,I'm Available To You,,,,,,Are You Washed In The Blood?
At The Foot Of The Cross,At The Foot Of The Cross,Because Of Who You Are,Every Praise Is To Our God,From The Sanctuary,Give Thanks,Blessed Jesus Hold My Hand,Blessed Jesus Hold My Hand,Catch On Fire ( I Wish Somebody's Soul Would ),Fear Not For I Am With You,Give Him Praise,I've Got Confidence,,,,,,Ask The Savior To Help You
Because He Lives,Because He Lives,Breath Of Heaven (Mary's Song),Falling In Love With Jesus,Glory And Honor To You,Give Them All To Jesus,By And By (When The Morning Comes),By And By (When The Morning Comes),Celebrate The Presence Of The Lord,For Every Mountain,Goodness of God,It Is For Me,,,,,,At The Cross At The Cross
