profile,song_count
"altar-songs-choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",11
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",9
"os-apo-slow",7
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",6
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",6
"mod-gospel-slow",6
"os-apo-med",4
"cont-gospel-slow",4
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",3
"os-gospel-med",3
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",3
"mod-apo-slow",3
"mod-contemp-slow",2
"os-southern-gospel-fast",2
"mod-gospel-med-slow",2
"cont-black-gospel",2
"os-apo-med-sutl",1
"old-school-southern-gospel",1
"os-apo-med-slow",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-high-energy-medium-fast-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",1
"os-southern-gospel-med",1
"black-gospel-fast-funky",1
"black-gospel-opera",1
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",1
"ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-praise-slow-solo-songs-traditional-worship",1
"os-apo-fast",1
"os-gospel-slow",1
"o-s-apo-med",1
