profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",8
"mod-apo-slow",7
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",6
"mod-apo-med",6
"mod-gospel-slow",5
"os-apo-slow",5
"os-apo-med",5
"altar-songs-choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",4
"os-apo-fast",3
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-medium-slow-praise-solo-songs-southern-gospel-traditional-worship",3
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",2
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",2
"os-gospel-fast",2
"contemp-christian-slow",1
"lamb-of-god",1
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",1
"os-gospel-med",1
"os-christian-med",1
"o-s-apo-med",1
"os-gospel-slow",1
