profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-medium-fast-middle-eastern-praise-solo-songs-traditional",7
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",7
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",5
"os-apo-med",4
"os-apo-slow",3
"os-gospel-fast",2
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-opera",2
"os-gospel-slow",2
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"os-gospel-med",1
"mod-apo-fast",1
"mod-gospel-fast",1
"os-christian-med",1
"os-apo-fast",1
"os-apo-med-slow",1
