profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",5
"os-gospel-slow",3
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",2
"os-apo-fast",2
"southern-gospel-fast",2
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",2
"os-apo-slow",2
"black-gospel-choir-choruses-congregational-contemporary-medium-fast-middle-eastern-praise-solo-songs-traditional",1
"mod-apo-fast",1
"contemp-christian-fast",1
"os-apo-med",1
"os-gospel-med",1
"black-gospel-opera",1
"black-gospel-black-gospel-opera-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",1
"mod-apo-slow",1
"mod-gospel-slow",1
