profile,song_count
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",14
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",11
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",10
"mod-apo-slow",9
"os-apo-slow",9
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",9
"mod-apo-med",7
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",6
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",6
"os-apo-med",6
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-slow-solo-songs-southern-gospel-traditional-worship",5
"os-apo-fast",4
"altar-songs-ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",3
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-medium-slow-praise-reverential-solo-songs-southern-gospel-traditional-worship",2
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",2
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",2
"os-southern-gospel-slow",2
"cont-gospel-slow",2
"os-gospel-med",2
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-praise-solo-songs-southern-gospel-traditional-worship",1
"os-gospel-slow",1
"os-apo-med-slow",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",1
"mod-gospel-slow",1
"black-gospel-choir-choruses-congregational-contemporary-medium-medium-slow-praise-reverential-solo-songs-southern-gospel-traditional-worship",1
