profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",44
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",42
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",31
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",28
"os-apo-med",24
"mod-apo-med",22
"os-apo-fast",19
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",17
"mod-apo-slow",17
"os-apo-slow",14
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",14
"mod-gospel-slow",8
"os-gospel-slow",8
"altar-songs-choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",6
"os-apo-med-slow",6
"os-gospel-fast",6
"black-gospel-ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-medium-slow-praise-reverential-solo-songs-southern-gospel-traditional-worship",6
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-middle-eastern-praise-solo-songs-southern-gospel-traditional-worship",5
"contemp-christian-slow",5
"os-southern-gospel-med",4
"o-s-apo-fast",4
"black-gospel-choir-choruses-congregational-contemporary-medium-medium-slow-praise-reverential-solo-songs-southern-gospel-traditional-worship",4
"mod-apo-med-slow",4
"contemp-christian-med-slow",4
"black-gospel-ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-praise-solo-songs-southern-gospel-traditional-worship",4
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",4
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-slow-solo-songs-southern-gospel-traditional-worship",3
"os-gospel-med",3
"os-apo-med-fast",2
"cont-gospel-slow",2
"os-southern-gospel-med-slow",2
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",2
"mod-gospel-med-slow",2
"os-christian-med",2
"mod-gospel-med",2
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-opera",2
"os-southern-gospel",2
"os-southern-gospel-slow",2
"altar-songs-ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",2
"mod-gospel-fast",2
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-slow-solo-songs-southern-gospel-traditional-worship",1
"os-apo-f",1
"bluegrass-cheeky-novel-southern-gospel",1
"black-gospel-ccm-choir-choruses-congregational-contemporary-jesus-movement-maranatha-medium-medium-fast-middle-eastern-praise-solo-songs-traditional-worship",1
"os-gospel-med-slow",1
"o-s-apo-slow",1
"altar-songs-black-gospel-bluegrass-cheeky-choir-choruses-congregational-contemporary-energetic-medium-fast-novel-praise-solo-songs-southern-gospel-traditional-worship",1
"os-christian-slow",1
"os-ap0-slow",1
"os-christian-med-slow",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",1
"os-med-apo",1
"med-fast-contemp-christian",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-high-energy-medium-fast-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",1
"the-holy-ghost",1
"apo-mod-slow",1
"cont-gospel-med",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",1
