profile,song_count
"os-apo-med",10
"os-apo-slow",9
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",6
"mod-apo-med",6
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",5
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",4
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",3
"mod-gospel-slow",3
"black-gospel-opera",3
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",3
"os-gospel-med-slow",3
"black-gospel-black-gospel-opera-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"os-apo-fast",2
"os-gospel-med",2
"mod-gospel-fast",2
"cont-gospel-fast",2
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-slow-solo-songs-southern-gospel-traditional-worship",2
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-slow-solo-songs-southern-gospel-traditional-worship",2
"mod-apo-fast",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",1
"lordship-of-jesus",1
"os-gospel-slow",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",1
"mod-apo-slow",1
"cont-gospel-med",1
"os-gospel-fast",1
"son-of-god",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",1
