profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",8
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",7
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",6
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",5
"os-apo-med",5
"os-apo-fast",5
"mod-apo-slow",5
"contemp-christian-med",4
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",3
"mod-apo-med",3
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",3
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",2
"mod-gospel-slow",1
"os-apo-slow",1
"os-southern-gospel-fast",1
"cont-southern-gospel-slow",1
"mod-southern-gospel-slow",1
"os-southern-gospel-med",1
"os-gospel-fast",1
"black-gospel-opera",1
