profile,song_count
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",13
"os-apo-slow",8
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",8
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",6
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-slow-solo-songs-southern-gospel-traditional-worship",4
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",4
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",2
"mod-apo-med-fast",2
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",2
"contemporary-christian-med-slow",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-medium-slow-praise-solo-songs-southern-gospel-traditional-worship",1
"altar-songs-choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",1
"os-apo-med",1
"os-apo-sl0w",1
"altar-songs-black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",1
"black-gospel-fast-funky",1
"mod-apo-med",1
"mod-apo-fast",1
"os-apo-fast",1
"os-gospel-slow",1
