profile,song_count
"mod-apo-fast",9
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",8
"os-apo-med",6
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",6
"mod-apo-med",6
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",4
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",2
"os-southern-gospel-med",2
"altar-songs-choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",2
"contemporary-christian-med-fast",2
"os-gospel-fast",1
"os-apo-med-slow",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",1
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",1
"contemporary-gospel-med-fast",1
"black-gospel-choir-choruses-congregational-contemporary-medium-fast-middle-eastern-praise-solo-songs-traditional",1
"contemporary-gospel-fast",1
"os-apo-slow",1
"black-gospel-opera",1
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",1
"os-apo-fast",1
"os-christian-fast",1
"os-gospel-med",1
"mod-gospel-fast",1
"mod-gospel-med",1
