profile,song_count
"black-gospel-choir-choruses-congregational-contemporary-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",13
"black-gospel-choir-choruses-congregational-contemporary-high-energy-medium-fast-shouting-praise-solo-songs-southern-gospel-traditional-worship",13
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-solo-songs-southern-gospel-traditional-worship",11
"choir-choruses-congregational-contemporary-slow-solo-songs-traditional-worship",10
"os-apo-med",10
"mod-apo-slow",9
"mod-apo-med",8
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-solo-songs-southern-gospel-traditional-worship",7
"os-apo-slow",6
"ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",5
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-solo-songs-southern-gospel-traditional-worship",5
"os-apo-fast",4
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-medium-slow-praise-solo-songs-southern-gospel-traditional-worship",4
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-fast-praise-slow-solo-songs-southern-gospel-traditional-worship",3
"black-gospel-opera",2
"contemp-christian-slow",2
"mod-gospel-med",2
"black-gospel-choir-choruses-congregational-contemporary-medium-praise-slow-solo-songs-southern-gospel-traditional-worship",2
"modern-apostolic-medium",2
"os-apo-med-fast",1
"mod-apo-fast",1
"os-black-gospel",1
"o-s-apo-fast",1
"black-gospel-choir-choruses-congregational-contemporary-energetic-medium-slow-reverential-solo-songs-southern-gospel-traditional-worship",1
"os-gospel-slow",1
"mod-southern-gospel-slow",1
"altar-songs-ccm-choir-choruses-congregational-jesus-movement-maranatha-medium-praise-solo-songs-worship",1
"os-gospel-med",1
